"ISBN","Grocery-Title","Book-Price","Image-URL-M","Image-URL-S","Image-URL-L"
"BB60","national tomato ketchup litre","Rs.90 per pcs","https://pictures.grocerapps.com/original/grocerapp-national-tomato-ketchup--5ec37362b0725.jpeg","http://images.amazon.com/images/P/8445071408.01.THUMBZZZ.jpg",""
"BB59","kolson macroni packet","Rs.150 per pcs","https://media.naheed.pk/catalog/product/cache/49dcd5d85f0fa4d590e132d0368d8132/1/1/1170008-1.jpg","http://images.amazon.com/images/P/055321215X.01.THUMBZZZ.jpg",""
"BB58","fresh honey special","Rs.500 per kg","https://i0.wp.com/post.healthline.com/wp-content/uploads/2021/04/honey-1296x728-header.jpg?w=1155&h=1528","http://images.amazon.com/images/P/0380715899.01.THUMBZZZ.jpg",""
"BB57","surf excel…","Rs.255 per pcs","https://cdnprod.mafretailproxy.com/sys-master-root/h39/ha8/31445734293534/42853_main.jpg_480Wx480H","http://images.amazon.com/images/P/0394743741.01.THUMBZZZ.jpg",""
"BB56","fog body spray….","Rs.755 per pcs","https://cdn2.bigcommerce.com/n-biq04i/ivmp9iza/products/3385/images/69133/Marco__68067.1551349237.500.750.jpg?c=2","http://images.amazon.com/images/P/087113375X.01.THUMBZZZ.jpg",""
"BB55","harpic..","Rs.110 per pcs","https://cdnprod.mafretailproxy.com/sys-master-root/h5f/h38/27713878917150/38059_main.jpg_480Wx480H","http://images.amazon.com/images/P/0671867156.01.THUMBZZZ.jpg",""
"BB54","coca cola cold drink","Rs.160 per pcs","https://rashanwalaa.pk/wp-content/uploads/2022/03/Coke-Soft-Drink-2.25ltr.png","http://images.amazon.com/images/P/0061076031.01.THUMBZZZ.jpg",""
"BB53","capri soap..","Rs.65 per pcs","https://media.naheed.pk/catalog/product/cache/49dcd5d85f0fa4d590e132d0368d8132/1/0/1022093-1.jpg","http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg",""
"BB52","slice juice..","Rs.35 per pcs","https://cdnprod.mafretailproxy.com/sys-master-root/h5a/ha8/29211653603358/146949_main.jpg_480Wx480H","http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg",""
"BB51","lux soap..","Rs.80 per pcs","https://media.naheed.pk/catalog/product/cache/49dcd5d85f0fa4d590e132d0368d8132/1/0/1021106-1.jpg","http://images.amazon.com/images/P/055321215X.01.THUMBZZZ.jpg",""
"BB50","sunsilk shampoo..","Rs.360 per pcs","https://nexthealth.pk/product_data/medium/38428Sunsilk%20Co-Creations%20Black%20&%20Shine%20Shampoo%20320ml.png","http://images.amazon.com/images/P/0245542957.01.THUMBZZZ.jpg",""
"BB49",".face washer.","Rs.350 per pcs","https://www.ponds.com/content/dam/unilever/ponds/pakistan/english/pack_shot/ponds-puredetox-61924855-png.png","",""
"BB48","mouth washer","Rs.300 per pcs","https://cdnprod.mafretailproxy.com/sys-master-root/h83/h83/9842665685022/188678_3.jpg_480Wx480H","",""
"BB47","cherry  blosom black","Rs.350 per pcs","https://media.naheed.pk/catalog/product/cache/49dcd5d85f0fa4d590e132d0368d8132/1/0/1037982-1.jpg","http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg",""
"BB46","fair and lovely womens","Rs.265 per pcs","https://cdn.shopify.com/s/files/1/0500/8723/1683/products/51VXcxBE8sL._SX522.jpg?v=1648807841","http://images.amazon.com/images/P/1569871213.01.THUMBZZZ.jpg",""
"BB45","regular use sanitizer","Rs.150 per pcs","https://cdn.metro-online.pk/dashboard/prod-pic/LHE-01262/12631929-0-M.jpg?4","http://images.amazon.com/images/P/0060177586.01.THUMBZZZ.jpg",""
"BB44","shan karahi msla","Rs.90 per box","https://media.naheed.pk/catalog/product/cache/49dcd5d85f0fa4d590e132d0368d8132/1/1/1119332-1.jpg","http://images.amazon.com/images/P/0553062042.01.THUMBZZZ.jpg",""
"BB43","mehran nihari msla","Rs.85 per pcs","https://mehrangroup.com/wp-content/uploads/2021/08/WhatsApp-Image-2021-10-27-at-12.12.21-PM.jpeg","http://images.amazon.com/images/P/080652121X.01.THUMBZZZ.jpg",""
"BB42","national biryani msla","Rs.110 per pcs","https://static-01.daraz.pk/p/f440c06fc0485d2934aa0ee093236a89.jpg","http://images.amazon.com/images/P/0425163091.01.THUMBZZZ.jpg",""
"BB41","oreo biscuits","Rs.200 per box","https://media.naheed.pk/catalog/product/cache/49dcd5d85f0fa4d590e132d0368d8132/1/0/1098682-1.jpg","http://images.amazon.com/images/P/0553582747.01.THUMBZZZ.jpg",""
"BB40","kitkat chocolate","Rs.150 per pcs","https://www.aywadeal.com/wp-content/uploads/2019/04/Kit-Kat-Chocolate-Bar.jpeg","http://images.amazon.com/images/P/1853262404.01.THUMBZZZ.jpg",""
